split,seed,damping,shrink_threshold,reward,nmse,support,conformal
heldout-baseline,70129,1.0,0.0,0.933189884499146,0.9829747112478646,0.8000000000000002,1.0
heldout-baseline,70130,1.0,0.0,0.9616767297485584,0.9791918243713962,0.9,1.0
heldout-baseline,70131,1.0,0.0,0.9026069520358894,0.9815173800897232,0.8000000000000002,0.9
heldout-baseline,70132,1.0,0.0,0.8707263842518216,0.9768159606295539,0.7,0.9
heldout-baseline,70133,1.0,0.0,0.9945335448766681,0.9863338621916704,1.0,1.0
heldout-baseline,70134,1.0,0.0,0.9375811567320621,0.9939528918301551,0.9,0.9
heldout-baseline,70135,1.0,0.0,0.9638544339707671,0.9846360849269178,0.9,1.0
heldout-baseline,70136,1.0,0.0,0.8286174784329421,0.9465436960823553,0.6,0.9
heldout-baseline,70137,1.0,0.0,0.8347614466168434,0.8119036165421081,0.8000000000000002,0.9
heldout-baseline,70138,1.0,0.0,0.9951171196835753,0.987792799208938,1.0,1.0
heldout-baseline,70139,1.0,0.0,0.8637078680905301,0.9592696702263253,0.7,0.9
heldout-baseline,70140,1.0,0.0,0.992024362583543,0.9800609064588575,1.0,1.0
heldout-baseline,70141,1.0,0.0,0.8666586780794262,0.9666466951985655,0.7,0.9
heldout-baseline,70142,1.0,0.0,0.9318298914528532,0.9795747286321329,0.9,0.9
heldout-baseline,70143,1.0,0.0,0.8995132063716327,0.9737830159290817,0.8000000000000002,0.9
heldout-baseline,70144,1.0,0.0,0.9971487896964928,0.9928719742412316,1.0,1.0
heldout-baseline,70145,1.0,0.0,0.8943965346597441,0.9609913366493601,0.8000000000000002,0.9
heldout-baseline,70146,1.0,0.0,0.9368538175746166,0.9921345439365414,0.9,0.9
heldout-baseline,70147,1.0,0.0,0.9670000517927596,0.9925001294818989,1.0,0.9
heldout-baseline,70148,1.0,0.0,0.8983518106481218,0.9708795266203042,0.8000000000000002,0.9
heldout-baseline,70149,1.0,0.0,0.9308867103732417,0.9772167759331042,0.9,0.9
heldout-best,70100,1.0112747213686086,0.08098682749008286,0.9658380787638794,0.9895951969096985,0.9,1.0
heldout-best,70101,1.0112747213686086,0.08098682749008286,0.9619649914154103,0.9799124785385253,0.9,1.0
heldout-best,70102,1.0112747213686086,0.08098682749008286,0.9266518074472587,0.9666295186181468,0.8000000000000002,1.0
heldout-best,70103,1.0112747213686086,0.08098682749008286,0.9291205176029695,0.9728012940074238,0.8000000000000002,1.0
heldout-best,70104,1.0112747213686086,0.08098682749008286,0.9643999521690467,0.9859998804226168,0.9,1.0
